SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD  - B5 AVG  VIDEO RESOLUTION FOR QUALIFIED VIDEOS;923.6808375588639;45.03247033333334;7.667352666666666
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT01;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;WB;HTTP;BROWSING - HTTP TRANSFER TIME [S];2.0343;45.061964599999996;7.6787524000000005
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD - AVERAGE VIDEO START TIME [s] on Qualified session (Time to First Picture);1.8286;45.0660352;7.6946686
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT01;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_10;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];10.0;45.0619788;7.6786336
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT01;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_10;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;5.0;45.0660352;7.6946686
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video1;Video1 STATIC YOU TUBE HD - AVERAGE VIDEO START TIME [s] on Qualified session (Time to First Picture);1.4888333333333332;45.03247033333334;7.667352666666666
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF ATTEMPTS [N];5.0;45.066012400000005;7.694674399999999
