SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;ALL;HTTP + HTTPS UPLINK - UPLOAD Transfer Time [S];4.514345323741008;45.81785507194243;8.828510266187044
Cities and Towns;VoLTE_CAP;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.9.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Voice;VoLTE;M2M;NUMBERS OF CALLS Non Sustainability [WB];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE HD  - B5 AVG  VIDEO RESOLUTION FOR QUALIFIED VIDEOS;888.7269418750274;45.819317961832056;8.826307190839692
Cities and Towns;VoLTE_CAP;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.9.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Voice;VoLTE;M2M;VOICE DROPPED  CALLS [N];2.0;45.822739;8.8205925
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF ATTEMPTS [N];136.0;45.81893138235295;8.826197933823526
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - DOWNLOAD Transfer Time [S];2.7750289855072463;45.817984898550726;8.828449753623186
