TECHNOLOGY;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;OPERATOR NAME;RAN VENDOR;Test;Sub-Test;KPI ID;KPI Name;KPI value;Latitude;Longitude
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;67503;MULTIRAB ATTEMPTS FOR QUALIFIED CALLS [N];180.0;45.81798582222219;8.828942333333334
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;77000;HTTPS BROWSING - NUMBER OF ATTEMPTS [N];138.0;45.819693615941986;8.824252115942027
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;65500;HTTPS DOWNLINK - NUMBER OF ATTEMPTS [N];68.0;45.819478382352955;8.82462923529412
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;75500;HTTP DOWNLINK - NUMBER OF ATTEMPTS [N];72.0;45.819933958333344;8.823917194444446
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;676000;HTTP UPLINK - NUMBER OF ATTEMPTS [N];72.0;45.817621375;8.828734638888893
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;665500;HTTPS DOWNLINK - NUMBER OF ATTEMPTS [N];68.0;45.8184531764706;8.827965985294117
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video2;79001;Video2 STATIC YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;69.0;45.819767188405805;8.824530724637684
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;677000;HTTPS BROWSING - NUMBER OF ATTEMPTS [N];137.0;45.818175861313854;8.828034437956203
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;67501;MULTIRAB ATTEMPTS FOR QUALIFIED CALLS [N];186.0;45.818096612903226;8.828065989247309
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video2;679001;Video2 STATIC YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;68.0;45.81819158823531;8.827878632352942
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;675500;HTTP DOWNLINK - NUMBER OF ATTEMPTS [N];72.0;45.817677402777775;8.828718583333336
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;77500;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];143.0;45.819776244755225;8.823989916083914
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;75001;CALL ATTEMPTS [N] (column H + J);193.0;45.8188349119171;8.825755233160622
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;66000;HTTPS UPLINK - NUMBER OF ATTEMPTS [N];68.0;45.81943786764705;8.824367676470587
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video1;679001;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;72.0;45.81791619444445;8.828327236111111
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;78000;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];141.0;45.819778446808506;8.824269780141845
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;75201;CALL ATTEMPTS [N] (column H + J);184.0;45.81892176630433;8.825623364130436
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;76500;BROWSING HTTP - NUMBER OF ATTEMPTS [N];144.0;45.819711611111096;8.824010715277778
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;678000;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];140.0;45.81815437142859;8.828252607142852
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;676500;BROWSING HTTP - NUMBER OF ATTEMPTS [N];146.0;45.817758513698614;8.828420239726022
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;666000;HTTPS UPLINK - NUMBER OF ATTEMPTS [N];68.0;45.818424897058826;8.828028191176472
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Live;Video3;79501;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;68.0;45.819383235294104;8.82433811764706
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;677500;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ATTEMPTS [N];142.0;45.81781434507044;8.828302711267604
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;76000;HTTP UPLINK - NUMBER OF ATTEMPTS [N];71.0;45.819812352112685;8.824213295774646
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video1;79001;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;72.0;45.81977886111112;8.823671805555554
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Live;Video3;679501;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO ACCESS ATTEMPTS;66.0;45.818601090909105;8.827662712121214
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;676002;HTTP UPLINK - NUMBER OF ERRORS IN RETAINABILITY [N];1.0;45.83141;8.809372
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;75010;VOICE DROPPED  CALLS [N];2.0;45.820735;8.816676000000001
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;75501;HTTP DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;67503;MULTIRAB FAILURE  [N];11.0;45.816597090909084;8.831465454545453
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;676000;HTTP UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;676001;HTTP UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;676004;HTTP UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;75210;VOICE DROPPED  CALLS [N];2.0;45.822739;8.8205925
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;75502;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;75015;NUMBERS OF CALLS Non Sustainability [WB];1.0;45.823018;8.82045
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;75215;NUMBERS OF CALLS Non Sustainability [WB];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;677001;HTTPS BROWSING - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video1;679001;Video1 STATIC YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;75500;HTTP DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;76506;BROWSING - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;677000;HTTPS BROWSING - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Static;Video2;679001;Video2 STATIC YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;677004;HTTPS BROWSING - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];1.0;45.82289;8.848084
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;677006;HTTPS BROWSING - NUMBER OF ERRORS IN RETAINABILITY [N];2.0;45.8126275;8.841908
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;77501;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;77500;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;675502;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;675500;HTTP DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];3.0;45.810407;8.834371666666668
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;675501;HTTP DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;675504;HTTP DOWNLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;78000;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;78004;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;77504;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;676500;BROWSING HTTP - NUMBER OF DNS HOST RESOLUTION FAILURES [N];2.0;45.8179825;8.828143
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;78002;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];4.0;45.81424325;8.826921500000001
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;677502;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;678000;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;676501;BROWSING HTTP - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;78001;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;678002;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;677504;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
