SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET (QUALIFIED SESSION)- NUMBERS OF SESSIONS WHOSE THROUGHPUT EXCEEDS 500 Kbps;134.0;45.81969252238805;8.82361429850746
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - DOWNLOAD Transfer Time [S];7.0;45.81969252238805;8.82361429850746
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S8 (SM-G950F);4.4.13-12993647-QB17006525 dpi@SWDD5920) / Unavailable / R16NW.G950FXXU1CRB7 / TIM 11.5.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Voice;Legacy;M2M;CALL SETUP TIME [S] AVG - ORIGINATING SIDE -ALERTING- (For QUALIFIED CALLS);7.069790816326531;45.81809969387753;8.828374362244894
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S8 (SM-G950F);4.4.13-12993647-QB17006525 dpi@SWDD5920) / Unavailable / R16NW.G950FXXU1CRB7 / TIM 11.5.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Voice;Legacy;M2M;CALL SETUP TIME [S] 90TH PERCENTILE - ALERTING (For QUALIFIED CALLS);9.2215;45.81809969387753;8.828374362244894
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;WB;HTTPS;HTTPS BROWSING - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ATTEMPTS [N];68.0;45.819872470588244;8.823632191176472
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
